
[00:00:00.000 --> 00:00:02.360]   (upbeat music)
[00:00:02.360 --> 00:00:04.760]   Hello everyone and welcome to another carbon 60 video
[00:00:04.760 --> 00:00:06.320]   by me, Kay Elmer.
[00:00:06.320 --> 00:00:09.120]   And in this video, I'd like to share with you
[00:00:09.120 --> 00:00:12.440]   what I have learned about using C60 topically.
[00:00:12.440 --> 00:00:14.160]   Now, obviously, before we jump into that,
[00:00:14.160 --> 00:00:16.360]   I've got some disclaimers that this material
[00:00:16.360 --> 00:00:18.080]   is for research purposes only.
[00:00:18.080 --> 00:00:22.320]   C60 and C60 oil is not approved for consumption by the FDA.
[00:00:22.320 --> 00:00:23.920]   This is not medical or health advice.
[00:00:23.920 --> 00:00:25.440]   It's not a product endorsement.
[00:00:25.440 --> 00:00:28.280]   I do not sell any C60 products and I do not get paid
[00:00:28.280 --> 00:00:29.760]   in any way to do these videos.
[00:00:29.760 --> 00:00:33.480]   I'm just sharing what I learn with anyone who wants to learn it.
[00:00:33.480 --> 00:00:35.600]   So here we go, jump right in.
[00:00:35.600 --> 00:00:37.880]   First thing I learned was there's a lot of benefits,
[00:00:37.880 --> 00:00:39.720]   not a lot like dozens and dozens,
[00:00:39.720 --> 00:00:43.280]   but some considerable interesting scientific research
[00:00:43.280 --> 00:00:46.160]   has been done both in private and in academia
[00:00:46.160 --> 00:00:49.440]   with regards to what is it, what happens when you put C60
[00:00:49.440 --> 00:00:53.520]   on top of the skin and in the hair and scalp and so forth.
[00:00:53.520 --> 00:00:55.680]   And so looking at one company,
[00:00:55.680 --> 00:00:56.880]   it's a Japanese company called
[00:00:56.880 --> 00:01:00.320]   Vitamin C60 by Research Corporation.
[00:01:00.320 --> 00:01:01.680]   They basically have come out
[00:01:01.680 --> 00:01:04.080]   and all the links in the video description,
[00:01:04.080 --> 00:01:06.360]   you can go learn up on their website
[00:01:06.360 --> 00:01:09.080]   about their research or the research that they've gathered,
[00:01:09.080 --> 00:01:10.360]   but they have discovered
[00:01:10.360 --> 00:01:12.200]   and they actually are producing products.
[00:01:12.200 --> 00:01:14.600]   Now, what's interesting about this Japanese company
[00:01:14.600 --> 00:01:17.240]   is they go back to 2005.
[00:01:17.240 --> 00:01:21.280]   They predate, way predate the 2012 rat study
[00:01:21.280 --> 00:01:24.640]   that got everybody to start drinking C60 in oil.
[00:01:24.640 --> 00:01:26.360]   These guys have been putting in cosmetics
