
[00:00:00.000 --> 00:00:02.900]   Aloha, everyone and welcome to another Tinkers Academy video.
[00:00:02.900 --> 00:00:06.700]   I'm your host, Kay Elmer, and today I have got a real treat.
[00:00:06.700 --> 00:00:09.400]   A good friend of mine who runs New Image Lifestyles,
[00:00:09.400 --> 00:00:15.000]   Richard Jordan is joining me for a chat to share with you and me.
[00:00:15.000 --> 00:00:18.600]   All of his lifestyle, you know, which is really what it is,
[00:00:18.600 --> 00:00:19.600]   a New Image Lifestyle.
[00:00:19.600 --> 00:00:24.200]   He's another individual who, just like myself and in like Philip,
[00:00:24.200 --> 00:00:26.400]   if you know Philip from Leila Quantum Tech,
[00:00:26.400 --> 00:00:31.000]   where we just basically are executives in companies out there
[00:00:31.000 --> 00:00:35.200]   in the world for our day job, and one day we end up, you know,
[00:00:35.200 --> 00:00:38.800]   following our true purpose of being a healer or a biohacker
[00:00:38.800 --> 00:00:42.800]   or a tinker, and Richard's one of that wonderful group of folks.
[00:00:42.800 --> 00:00:46.100]   So I'm just really happy to have you on, Richard.
[00:00:46.100 --> 00:00:47.600]   Are you today?
[00:00:47.600 --> 00:00:51.300]   I'm doing great, Kay, and I thank you for the opportunity to share.
[00:00:51.300 --> 00:00:53.200]   Yeah, I just definitely want to introduce you to the crowd.
[00:00:53.200 --> 00:00:54.900]   So let me go ahead and read some disclaimers
[00:00:54.900 --> 00:00:58.100]   so we don't get in trouble and then we'll just jump right in.
[00:00:58.100 --> 00:01:00.200]   So hey, New Image Lifestyles does not recommend
[00:01:00.200 --> 00:01:02.800]   or endorse any specific test physicians, procedures,
[00:01:02.800 --> 00:01:05.700]   opinions or other information that may be mentioned
[00:01:05.700 --> 00:01:07.300]   on this website in this video.
[00:01:07.300 --> 00:01:09.600]   Reliance on any information appearing on this video is solely
[00:01:09.600 --> 00:01:10.600]   at your own risk.
[00:01:10.600 --> 00:01:12.600]   Statements made on this site have not been evaluated
[00:01:12.600 --> 00:01:14.600]   by the Food and Drug Administration or the FSA
[00:01:14.600 --> 00:01:16.500]   or any other government derivative.
[00:01:16.500 --> 00:01:20.100]   New Image Lifestyles produces our products and services are not intended
[00:01:20.100 --> 00:01:23.200]   to diagnose, treat, cure, or prevent disease or health condition.
[00:01:23.200 --> 00:01:23.800]   There you go.
[00:01:23.800 --> 00:01:24.700]   Don't sue us.
[00:01:24.700 --> 00:01:30.200]   Hey, so anyway, so here everybody, let me just do a quick introduction
[00:01:30.200 --> 00:01:32.400]   and then let Richard kind of fill in the blanks.
[00:01:32.400 --> 00:01:36.600]   But Richard's basically a very accomplished businessman
[00:01:36.600 --> 00:01:42.000]   who's been founding and starting and running company since like 1968.
[00:01:42.000 --> 00:01:46.200]   And he's got a hell of a pedigree of different things that you've been doing.
[00:01:46.200 --> 00:01:48.400]   I don't even know if you can kind of like, you know,
[00:01:48.400 --> 00:01:53.300]   like elevator speech, you know, everything up until New Image Lifestyles was founded.
[00:01:53.300 --> 00:01:58.700]   But in the way I look at it is just a tremendous amount of experiences,
[00:01:58.700 --> 00:02:01.700]   you know, being in the world of industry.
[00:02:01.700 --> 00:02:05.000]   And then of course, you know, just like myself, you know,
[00:02:05.000 --> 00:02:08.600]   you leave your career behind and then follow a passion.
[00:02:08.600 --> 00:02:10.600]   And that's where New Image Lifestyles starts.
[00:02:10.600 --> 00:02:16.900]   So is that about a good elevator pitch on your background, Richard?
[00:02:16.900 --> 00:02:18.500]   You go by Richard, right?
[00:02:18.500 --> 00:02:20.500]   I go by Rich, yeah.
[00:02:20.500 --> 00:02:22.900]   I like people to prophesy to me, you know,
[00:02:22.900 --> 00:02:25.100]   when they say they want to call me Rich.
[00:02:25.100 --> 00:02:26.800]   That'd be good.
[00:02:26.800 --> 00:02:28.100]   OK.
[00:02:28.100 --> 00:02:29.100]   But that's it.
[00:02:29.100 --> 00:02:33.600]   You've got a pretty good summary right there on your screen.
[00:02:33.600 --> 00:02:35.700]   You know, I started off in the coatings industry
[00:02:35.700 --> 00:02:41.900]   and electrostatic coatings and got into the whole energy conservation movement
[00:02:41.900 --> 00:02:47.500]   when we had the oil bar embargo back in the late 70s, early 80s.
[00:02:47.500 --> 00:02:52.300]   And when you get into energy conservation, you tighten houses up
[00:02:52.300 --> 00:02:55.900]   and then we became concerned about the quality of air in homes.
[00:02:55.900 --> 00:02:59.900]   And one of the things that we would test for was radon.
[00:02:59.900 --> 00:03:05.300]   And I ended up developing a radon laboratory to test these things
[00:03:05.300 --> 00:03:09.300]   and then that evolved into fixing it.
[00:03:09.300 --> 00:03:19.000]   And then in that process, we needed software to be able to produce our radon reports
[00:03:19.000 --> 00:03:25.000]   and we got into home inspections and we developed new image software for that
[00:03:25.000 --> 00:03:29.400]   and sold that company a few years ago.
[00:03:29.400 --> 00:03:36.800]   And this basically was looking for what's next step would be.
[00:03:36.800 --> 00:03:46.200]   And my wife and I were both biohackers very interested in our health
[00:03:46.200 --> 00:03:49.400]   and started new image lifestyles.
[00:03:49.400 --> 00:03:52.000]   Yeah, so that's awesome.
[00:03:52.000 --> 00:03:57.800]   I mean, if you don't mind me sharing your age and just your activity level,
[00:03:57.800 --> 00:04:00.600]   I mean, you're basically not just talking the talk,
[00:04:00.600 --> 00:04:04.800]   but you're one of those individuals that walks the walk, right?
[00:04:04.800 --> 00:04:08.000]   Well, I discovered.
[00:04:08.000 --> 00:04:11.600]   You want to share your idea and how active you are.
[00:04:11.600 --> 00:04:15.600]   You blow me away because you're way way out there.
[00:04:15.600 --> 00:04:17.800]   I'll be 78 in January.
[00:04:17.800 --> 00:04:27.800]   And when we moved from Texas back to Indiana in 2015,
[00:04:27.800 --> 00:04:33.600]   I was always a gym rat and so I'm in the local YMCA lifting weights
[00:04:33.600 --> 00:04:37.400]   and I kept hearing this sound over the balcony down on the gym floor
[00:04:37.400 --> 00:04:41.200]   and I look over there and these people were using these paddles
[00:04:41.200 --> 00:04:43.400]   and they were hitting a wiffle ball.
[00:04:43.400 --> 00:04:48.800]   And after about a month, I finally walked down there and asked what this game was all about.
[00:04:48.800 --> 00:04:53.000]   And a lady slapped a paddle in my hand and I started playing
[00:04:53.000 --> 00:04:55.800]   and I've been playing ever since.
[00:04:55.800 --> 00:05:00.800]   I've probably played three to four times a week
[00:05:00.800 --> 00:05:05.200]   and play at a high level competitive level.
[00:05:05.200 --> 00:05:08.000]   And I just love the game of pickle ball.
[00:05:08.000 --> 00:05:13.000]   And it's the fastest growing sport in the nation right now.
[00:05:13.000 --> 00:05:16.600]   Yeah, I actually mentioned this to my daughter and she said she was playing pickle ball.
[00:05:16.600 --> 00:05:19.600]   And I'm like, I'm like, how the way?
[00:05:19.600 --> 00:05:21.400]   She's like, oh, everybody's doing it now.
[00:05:21.400 --> 00:05:25.400]   And I'm like, I thought that was just her older folks.
[00:05:25.400 --> 00:05:29.000]   And I got a big education on what pickle ball is like,
[00:05:29.000 --> 00:05:31.200]   I never even heard of it to you mentioned it to me.
[00:05:31.200 --> 00:05:32.200]   But no, that's awesome.
