
[00:00:00.000 --> 00:00:02.000]   Parson
[00:00:02.000 --> 00:00:05.600]   Aloha everyone and welcome to another tinker's Academy video
[00:00:05.600 --> 00:00:11.840]   I'm your host Kay Elmer and I've got Philip Von Holtsendorf with me from the quantum upgrade and today
[00:00:11.840 --> 00:00:16.840]   We'd like to do a quantum upgrade Q&A. So there it's been a roughly two weeks
[00:00:16.840 --> 00:00:20.600]   Since we are since you know, Philip and won't I guess we?
[00:00:20.600 --> 00:00:25.760]   Announce the new service and there's been just a flurry of activity and a ton of questions
[00:00:25.840 --> 00:00:31.840]   So I wanted to just share with you and I asked Philip to come on board so we can do a Q&A to kind of bang
[00:00:31.840 --> 00:00:35.140]   You know out some of the frequently asked questions that we're seeing on
[00:00:35.140 --> 00:00:40.440]   Telegram so I just for everybody that you know what we're gonna be covering is we're gonna be talking about
[00:00:40.440 --> 00:00:45.400]   We know what the service covers like what's the definition of you and pet and car?
[00:00:45.400 --> 00:00:51.040]   So the people really are you know, so you're a lot more clear on what it is when you sign it up, right?
[00:00:51.040 --> 00:00:55.080]   We're gonna talk about if you are already an owner of capsules and blocks
[00:00:55.080 --> 00:00:59.000]   You know, what's the difference and how does it and how do they work together and so forth?
[00:00:59.000 --> 00:01:02.840]   And then talking about for those of you who have signed up, you know, how do you adjust your settings?
[00:01:02.840 --> 00:01:09.240]   There's been a ton of questions about changing the settings and adjusting the settings and what the settings mean and so forth
[00:01:09.240 --> 00:01:13.160]   And so let's cover that and then we'll talk a little bit about the future enhancements that are coming along
[00:01:13.160 --> 00:01:18.080]   For the quantum upgrade service down the road. So before we get into the meat of it
[00:01:18.080 --> 00:01:20.640]   I do want to introduce to you if you're not familiar with Philip
[00:01:20.920 --> 00:01:26.680]   He's a healer and he's also the founder owner and operator of quantum upgrade also
[00:01:26.680 --> 00:01:31.960]   He's the same for lay the quantum tech and lay the labs and he's coming to me right now
[00:01:31.960 --> 00:01:34.680]   I'm in Missouri, and he is in Costa Rica
[00:01:34.680 --> 00:01:40.320]   As we speak it's Saturday morning, and so hey Philip good morning, or should I say hola?
[00:01:40.320 --> 00:01:50.240]   Okay, yeah good morning to everyone that thanks for having me on I'm looking forward to this. Yeah, so you know, we're we're
[00:01:50.920 --> 00:01:53.640]   International Q&A session here
[00:01:53.640 --> 00:01:56.700]   So okay, so before we get into the meat of things
[00:01:56.700 --> 00:02:01.680]   Of course, there's always that disclaimer, so I'm gonna go ahead and just give it to you
[00:02:01.680 --> 00:02:04.860]   It's neither quantum upgrade nor ting the tinker's academy
[00:02:04.860 --> 00:02:11.040]   But recommend or endorse any specific tests physicians procedures opinions or other information that may be mentioned in this video
